Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.6961,7.5555,18.8917,AW,20_19_16_15_12_09_08_,the POUND of SUGAR cost MORE than a egg,,5
,,,,,,POUND SUGAR COSTS MORE EGGS,,
2,2.1039,0,5.8097,AW,20_13_11_10_08_06_05_,,,5
,,,,,,MOVE VAT OVER HOT FIRE,,
3,2.0491,7.6301,16.918,TA,21_18_17_13_12_09_07_,WE are SURE mONEy is,,5
,,,,,,WE SURE ONE WAR ENOUGH,,
4,2.2652,4.0655,23.6719,AW,17_14_12_10_08_04_03_,2 PLUS 7 is LESS than 10,,5
,,,,,,TWO PLUS SEVEN LESS TEN,,
5,2.7899,5.9356,25.799,AW,18_16_14_11_08_07_03_,the small trough of water was MADE by GREEN,,5
,,,,,,SPOT BLOTTER MADE GREEN INK,,
6,2.9545,0,11.0419,TA,19_15_12_11_09_05_04_,,,5
,,,,,,SASH GOLD SILK TRIM DRESS,,
7,2.5382,14.7181,36.6452,AW,21_18_16_14_13_10_05_,the truss needs to be crossed by goats,,5
,,,,,,TUSK USED MAKE COSTLY GIFTS,,
8,2.6823,5.0774,19.1887,AW,22_18_17_12_11_08_07_,? can be USED to build a FIRE,,5
,,,,,,CORN COBS USED KINDLE FIRE,,
9,2.318,4.788,14.0768,TA,17_15_14_10_09_08_03_,something hit the log,,5
,,,,,,KEY YOU DESIGNED FIT LOCK,,
10,2.8115,7.2652,26.0487,TA,21_18_15_09_08_07_03_,? from the bottle of the JUG is TASTY,,5
,,,,,,TEA SERVED BROWN JUG TASTY,,
11,2.6373,6.7213,20.7055,TA,20_17_16_14_13_07_03_,this wil LEAD the WORLD to MORE,,5
,,,,,,LEAD WORLD MORE SOUND FURY,,
12,2.4142,0,8.1669,AW,21_17_11_10_09_06_05_,,,5
,,,,,,FELT GAY SHIP ARRIVED PORT,,
13,1.9418,3.8325,14.5119,AW,21_16_14_12_10_07_06_,my father and mother are GOOD company,,5
,,,,,,WE ADMIRE LOVE GOOD COOK,,
14,2.8065,13.5222,29.2166,TA,22_14_13_11_10_09_06_,Ken's past feast never,,5
,,,,,,CANNED PEARS LACK FULL FLAVOR,,
15,2.7656,5.9254,21.6207,TA,20_18_16_14_13_11_03_,When asked for this ? called it GRACEFUL,,5
,,,,,,DANCED LIKE SWAN TALL GRACEFUL,,
16,1.9764,5.1993,12.9509,TA,22_19_16_12_10_06_05_,we can seek OUT the owner,,5
,,,,,,TAKES HEAT BRING OUT ODOR,,
17,2.3525,4.9392,25.483,AW,22_17_15_11_10_08_05_,He wanted a pink cone with ICECREAM,,5
,,,,,,ORDERED PEACH PIE ICE CREAM,,
18,2.8078,5.4466,20.9981,TA,22_20_18_15_14_10_08_,FIND the TWIN of the PEARL NECKLACE,,5
,,,,,,FIND TWIN STOLE PEARL NECKLACE,,
19,2.2306,10.2138,20.3173,AW,20_17_11_10_09_04_03_,the ? is NOW back to dad,,5
,,,,,,FILING CASE NOW HARD BUY,,
20,2.4973,6.9543,17.194,TA,20_18_17_16_12_10_05_,? RED SNAPPER,,5
,,,,,,BOX HELD BRIGHT RED SNAPPER,,
21,2.2883,3.3393,20.0267,TA,21_19_18_15_11_10_04_,the FIGHT will END in JUST 6 MINUTES,,5
,,,,,,FIGHT END JUST SIX MINUTES,,
22,3.0445,8.8798,23.895,AW,22_20_19_15_09_08_05_,the book ends will go by the plants,,5
,,,,,,BIRCH CANOE SLID SMOOTH PLANKS,,
23,3.0733,4.8252,9.3839,AW,20_17_16_15_14_13_03_,the small girl,,5
,,,,,,SNOWED RAINED HAILED SAME MORNING,,
24,2.8234,9.9588,20.5904,TA,22_19_17_16_13_10_07_,the wrath of ? PERSON will ,,5
,,,,,,RISE FAME PERSON TAKES LUCK,,
25,2.7129,13.8494,31.8094,TA,21_20_15_11_10_05_04_,two hands in consortion,,5
,,,,,,TIN CANS ABSENT STORE SHELVES,,
26,2.3643,2.7773,20.9368,TA,21_15_13_12_09_07_03_,the QUICK FOX jump over the SLEEPING CAT,,5
,,,,,,QUICK FOX JUMPED SLEEPING CAT,,
27,2.4716,9.1381,27.6334,AW,18_17_15_13_08_04_03_,BOb-- quarter,,5
,,,,,,ADD SUM PRODUCT THESE THREE,,
28,2.8738,6.2585,15.6661,AW,19_18_17_12_11_07_06_,This is a graph of sectiON of ROAD,,5
,,,,,,GRAND SEASON HIKES ON ROAD,,
29,2.139,5.4227,22.3028,AW,22_17_15_12_11_09_06_,DROP the figure and ADD the,,5
,,,,,,DROP TWO WHEN ADD FIGURES,,
30,1.9134,18.2301,27.8696,AW,21_16_14_13_11_09_03_,? is the BEST PART OF the WEEK,,5
,,,,,,SUNDAY BEST PART OF WEEK,,
31,1.8124,4.7762,16.8797,AW,22_19_15_10_08_06_05_,WHEN the NOISE STARTED,,5
,,,,,,WHERE THEY WHEN NOISE STARTED,,
32,2.3807,3.94,12.4357,TA,20_14_12_08_07_06_04_,it was our turn to ,,5
,,,,,,HARD ERASE BLUE RED INK,,
