Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.8234,3.4223,11.1891,TA,02_03_04_10_14_16_18_,the burst sCARE so right with MUCH CARE,2,5
,,,,,,PAPER SCARCE WRITE MUCH CARE,,
2,2.7651,2.4975,8.8741,AW,02_04_06_08_11_15_17_,the HEART BEAT stronger in more STROKES,4,5
,,,,,,HEART BEAT STRONGLY FIRM STROKES,,
3,2.0399,2.6278,6.6994,AW,02_05_07_08_12_14_18_,the ride was ... with SPILLED WATER,2,5
,,,,,,RAG SOAK UP SPILLED WATER,,
4,2.3925,4.4024,7.2821,TA,01_05_06_07_12_14_17_,the land.. ANY WOOD,2,5
,,,,,,LATHE CUTS TRIMS ANY WOOD,,
5,2.5358,3.3588,8.7265,AW,02_03_10_11_13_14_17_,the ROD is USED to CATCH PINK SALMON,5,5
,,,,,,ROD USED CATCH PINK SALMON,,
6,2.4882,3.3615,8.6653,AW,01_04_10_16_17_18_20_,WE FIND JOY in the SIMPLEST THINGS,5,5
,,,,,,WE FIND JOY SIMPLEST THINGS,,
7,2.4031,3.7376,8.2972,TA,02_07_08_09_15_18_19_,at the corner... find the BOX.. ,1,5
,,,,,,CUT CORD BINDS BOX TIGHTLY,,
8,2.4906,3.2723,10.192,AW,04_06_07_13_14_17_20_,the COFFEE STAND is TOO HIGH for the COUCH,5,5
,,,,,,COFFEE STAND TOO HIGH COUCH,,
9,2.9383,4.3818,6.7174,AW,02_05_10_11_13_14_16_,... FOUND in the TROPICS,2,5
,,,,,,HEMP WEED FOUND PARTS TROPICS,,
10,2.6072,3.2538,6.9416,AW,02_03_06_09_12_13_14_,ADDING... to WRONG things,2,5
,,,,,,ADDING FAST LEADS WRONG SUMS,,
11,2.351,3.7028,8.3904,AW,07_10_12_17_18_19_20_,TAKE the right PATH to REACH the LAKE,4,5
,,,,,,TAKE WINDING PATH REACH LAKE,,
12,3.1203,3.3003,7.9008,TA,02_04_08_09_10_14_19_,the log FELL and TUMBLED into the CLEAR STREAM,5,5
,,,,,,LOGS FELL TUMBLED CLEAR STREAM,,
13,2.1907,3.0595,8.9233,AW,02_06_07_10_14_15_16_,he found the TORN... ,1,5
,,,,,,SEWED TORN COAT QUITE NEATLY,,
